InChIKey,Octanol-water partition coefficient,Molecular weight,Number of rotatable bonds,HAcceptors,HDonor,valence Electron,Aromatic Proportion,logS
"1,1,1,2-Tetrachloroethane",2.5954000000000006,167.85,0.0,0.0,0.0,38.0,0.0,-2.18
"1,1,1-Trichloroethane",2.376500000000001,133.405,0.0,0.0,0.0,32.0,0.0,-2.0
"1,1,2,2-Tetrachloroethane",2.5938,167.85,1.0,0.0,0.0,38.0,0.0,-1.74
"1,1,2-Trichloroethane",2.0289,133.405,1.0,0.0,0.0,32.0,0.0,-1.48
"1,1,2-Trichlorotrifluoroethane",2.9189,187.37500000000003,1.0,0.0,0.0,50.0,0.0,-3.04
"1,1-Dichloroethane",1.81,98.96000000000001,0.0,0.0,0.0,26.0,0.0,-1.29
"1,1-Dichloroethylene",1.9352,96.94399999999999,0.0,0.0,0.0,24.0,0.0,-1.64
"1,1-Diethoxyethane ",1.4054,118.176,4.0,2.0,0.0,50.0,0.0,-0.43
"1,2,3,4-Tetrachlorobenzene",4.3002,215.894,0.0,0.0,0.0,54.0,0.6,-4.57
"1,2,3,4-Tetrahydronapthalene",2.5654000000000003,132.20599999999996,0.0,0.0,0.0,52.0,0.6,-4.37
"1,2,3,5-Tetrachlorobenzene",4.3002,215.894,0.0,0.0,0.0,54.0,0.6,-4.63
"1,2,3-Trichlorobenzene",3.6468000000000007,181.44899999999998,0.0,0.0,0.0,48.0,0.6666666666666666,-4.0
"1,2,3-Trimethylbenzene ",2.611860000000001,120.195,0.0,0.0,0.0,48.0,0.6666666666666666,-3.2
"1,2,4,5-Tetrabromobenzene",4.7366,393.69800000000004,0.0,0.0,0.0,54.0,0.6,-6.98
"1,2,4,5-Tetrachlorobenzene",4.3002,215.894,0.0,0.0,0.0,54.0,0.6,-5.56
"1,2,4,5-Tetramethylbenzene",2.9202800000000018,134.22199999999998,0.0,0.0,0.0,54.0,0.6,-4.59
"1,2,4-tribromobenzene",3.974100000000001,314.802,0.0,0.0,0.0,48.0,0.6666666666666666,-4.5
"1,2,4-Trichlorobenzene",3.6468000000000007,181.449,0.0,0.0,0.0,48.0,0.6666666666666666,-3.59
"1,2,4-Trimethylbenzene",2.611860000000001,120.195,0.0,0.0,0.0,48.0,0.6666666666666666,-3.31
"1,2-Benzenediol",1.0977999999999999,110.11199999999998,0.0,2.0,2.0,42.0,0.75,0.62
"1,2-Dibromobenzene",3.2116000000000007,235.90599999999998,0.0,0.0,0.0,42.0,0.75,-3.5
"1,2-Dibromoethane",1.7762,187.862,1.0,0.0,0.0,26.0,0.0,-1.68
"1,2-Dichlorobenzene",2.9934000000000003,147.00399999999996,0.0,0.0,0.0,42.0,0.75,-3.05
"1,2-Dichloroethane",1.464,98.96000000000001,1.0,0.0,0.0,26.0,0.0,-1.06
"1,2-Dichloropropane",1.8525,112.98700000000001,1.0,0.0,0.0,32.0,0.0,-1.6
"1,2-Dichlorotetrafluoroethane",2.6495999999999995,170.92000000000002,1.0,0.0,0.0,50.0,0.0,-2.74
"1,2-Diethoxyethane ",1.0594000000000001,118.176,5.0,2.0,0.0,50.0,0.0,-0.77
"1,2-Diethylbenzene",2.811400000000001,134.22199999999998,2.0,0.0,0.0,54.0,0.6,-3.28
"1,2-Dinitrobenzene",1.503,168.10799999999995,2.0,4.0,0.0,62.0,0.5,-3.1
"1,2-Propylene oxide",0.4051,58.08,0.0,1.0,0.0,24.0,0.0,-0.59
"1,3,5-Tribromobenzene",3.974100000000001,314.802,0.0,0.0,0.0,48.0,0.6666666666666666,-5.6
"1,3,5-Trichlorobenzene",3.6468000000000007,181.449,0.0,0.0,0.0,48.0,0.6666666666666666,-4.48
"1,3,5-Trimethylbenzene ",2.611860000000001,120.19499999999998,0.0,0.0,0.0,48.0,0.6666666666666666,-3.4
"1,3,5-Trinitrobenzene",1.4112,213.10499999999996,3.0,6.0,0.0,78.0,0.4,-2.89
"1,3-Benzenediol",1.0977999999999999,110.11199999999998,0.0,2.0,2.0,42.0,0.75,0.81
"1,3-Butadiene",1.3584,54.09199999999999,1.0,0.0,0.0,22.0,0.0,-1.87
"1,3-Dibromobenzene",3.2116000000000007,235.90599999999998,0.0,0.0,0.0,42.0,0.75,-3.54
"1,3-Dichlorobenzene",2.993400000000001,147.004,0.0,0.0,0.0,42.0,0.75,-3.04
"1,3-Dichloropropane",1.8540999999999999,112.98700000000001,2.0,0.0,0.0,32.0,0.0,-1.62
"1,3-diethylthiourea",0.49030000000000007,132.232,2.0,1.0,2.0,48.0,0.0,-1.46
"1,3-Difluorobenzene",1.9648,114.094,0.0,0.0,0.0,42.0,0.75,-2.0
"1,3-Dimethylnaphthalene",3.456640000000002,156.22799999999998,0.0,0.0,0.0,60.0,0.8333333333333334,-4.29
"1,3-Dinitrobenzene",1.503,168.10799999999995,2.0,4.0,0.0,62.0,0.5,-2.29
"1,4-Benzenediol",1.0977999999999999,110.11199999999998,0.0,2.0,2.0,42.0,0.75,-0.17
"1,4-Cyclohexadiene",1.8926,80.12999999999998,0.0,0.0,0.0,32.0,0.0,-2.06
"1,4-Dibromobenzene",3.2116000000000007,235.90599999999998,0.0,0.0,0.0,42.0,0.75,-4.07
"1,4-Dichlorobenzene",2.993400000000001,147.00400000000002,0.0,0.0,0.0,42.0,0.75,-3.27
"1,4-Diethylbenzene ",2.811400000000001,134.22199999999998,2.0,0.0,0.0,54.0,0.6,-3.75
"1,4-Difluorobenzene",1.9647999999999999,114.094,0.0,0.0,0.0,42.0,0.75,-1.97
"1,4-Dimethylnaphthalene ",3.456640000000002,156.228,0.0,0.0,0.0,60.0,0.8333333333333334,-4.14
"1,4-Dinitrobenzene",1.503,168.10799999999995,2.0,4.0,0.0,62.0,0.5,-3.39
"1,4-Pentadiene ",1.7485,68.119,2.0,0.0,0.0,28.0,0.0,-2.09
"1,5-Dimethlnapthalene",3.456640000000002,156.228,0.0,0.0,0.0,60.0,0.8333333333333334,-4.678999999999999
"1,5-Hexadiene ",2.1386000000000003,82.14599999999999,3.0,0.0,0.0,34.0,0.0,-2.68
"1,7-phenantroline",2.7830000000000004,180.20999999999998,0.0,2.0,0.0,66.0,1.0,-2.68
"1,8-Cineole",2.7441000000000013,154.253,0.0,1.0,0.0,64.0,0.0,-1.74
17a-Methyltestosterone,4.269300000000004,302.4580000000001,0.0,2.0,1.0,122.0,0.0,-3.9989999999999997
1-aminoacridine,2.970200000000001,194.23700000000002,0.0,2.0,1.0,72.0,0.9333333333333333,-4.22
1-Bromo-2-methylpropane,2.0373,137.01999999999998,1.0,0.0,0.0,32.0,0.0,-2.43
1-Bromobutane,2.1814,137.01999999999998,2.0,0.0,0.0,32.0,0.0,-2.37
1-Bromoheptane,3.351700000000002,179.101,5.0,0.0,0.0,50.0,0.0,-4.43
1-Bromohexane,2.9616000000000016,165.074,4.0,0.0,0.0,44.0,0.0,-3.81
1-Bromonapthalene,3.6023000000000014,207.07,0.0,0.0,0.0,54.0,0.9090909090909091,-4.35
1-Bromooctane,3.741800000000003,193.128,6.0,0.0,0.0,56.0,0.0,-5.06
1-Bromopentane,2.5715000000000012,151.047,3.0,0.0,0.0,38.0,0.0,-3.08
1-Bromopropane,1.7913000000000001,122.993,1.0,0.0,0.0,26.0,0.0,-1.73
1-Butanol,0.7787999999999999,74.12299999999999,2.0,1.0,1.0,32.0,0.0,0.0
1-Butene,1.5824,56.108,1.0,0.0,0.0,24.0,0.0,-1.94
1-Butyne,1.0295999999999998,54.09199999999999,0.0,0.0,0.0,22.0,0.0,-1.24
1-Chloro-2-bromoethane,1.6200999999999999,143.411,1.0,0.0,0.0,26.0,0.0,-1.32
1-Chloro-2-methylpropane,1.8812,92.569,1.0,0.0,0.0,32.0,0.0,-2.0
1-Chlorobutane,2.0253,92.56899999999999,2.0,0.0,0.0,32.0,0.0,-2.03
1-Chloroheptane,3.1956000000000016,134.65,5.0,0.0,0.0,50.0,0.0,-4.0
1-Chlorohexane,2.805500000000001,120.623,4.0,0.0,0.0,44.0,0.0,-3.12
1-Chloronapthalene,3.4932000000000016,162.61899999999997,0.0,0.0,0.0,54.0,0.9090909090909091,-3.93
1-Chloropentane,2.415400000000001,106.596,3.0,0.0,0.0,38.0,0.0,-2.73
1-Chloropropane,1.6352,78.542,1.0,0.0,0.0,26.0,0.0,-1.47
1-Decanol,3.119400000000002,158.285,8.0,1.0,1.0,68.0,0.0,-3.63
1-Decene,3.9230000000000036,140.26999999999998,7.0,0.0,0.0,60.0,0.0,-5.51
1-Dodecanol,3.8996000000000035,186.33899999999997,10.0,1.0,1.0,80.0,0.0,-4.8
1-Ethylnaphthalene ,3.4022000000000023,156.22799999999998,1.0,0.0,0.0,60.0,0.8333333333333334,-4.17
1-Heptanol,1.9491,116.204,5.0,1.0,1.0,50.0,0.0,-1.81
1-Heptene,2.752700000000001,98.189,4.0,0.0,0.0,42.0,0.0,-3.73
1-Heptyne,2.1999000000000004,96.17299999999999,3.0,0.0,0.0,40.0,0.0,-3.01
1-Hexadecanol,5.460000000000006,242.44699999999992,14.0,1.0,1.0,104.0,0.0,-7.0
1-Hexanol,1.559,102.17699999999999,4.0,1.0,1.0,44.0,0.0,-1.24
1-Hexene,2.3626000000000005,84.16199999999999,3.0,0.0,0.0,36.0,0.0,-3.23
1-Hexene-3-ol,1.3334,100.16099999999999,3.0,1.0,1.0,42.0,0.0,-0.59
1-Hexyne ,1.8098,82.14599999999999,2.0,0.0,0.0,34.0,0.0,-2.36
1-Iodobutane,2.2215,184.01999999999998,2.0,0.0,0.0,32.0,0.0,-2.96
1-Iodoheptane,3.3918000000000026,226.101,5.0,0.0,0.0,50.0,0.0,-4.81
1-Iodonapthalene,3.4444000000000017,254.07000000000002,0.0,0.0,0.0,54.0,0.9090909090909091,-4.55
1-Iodopropane,1.8314,169.993,1.0,0.0,0.0,26.0,0.0,-2.29
1-Methylcyclohexene ,2.5067000000000004,96.17300000000002,0.0,0.0,0.0,40.0,0.0,-3.27
1-Methylfluorene,3.566220000000002,180.25000000000003,0.0,0.0,0.0,68.0,0.8571428571428571,-5.22
1-Methylnaphthalene,3.148220000000002,142.201,0.0,0.0,0.0,54.0,0.9090909090909091,-3.7
1-Methylphenanthrene,4.301420000000003,192.261,0.0,0.0,0.0,72.0,0.9333333333333333,-5.85
1-methyluracil,-0.9264000000000001,126.115,0.0,3.0,1.0,48.0,0.6666666666666666,-0.807
1-Napthol,2.5454000000000008,144.17299999999997,0.0,1.0,1.0,54.0,0.9090909090909091,-2.22
1-Napthylamine,2.4220000000000006,143.189,0.0,1.0,1.0,54.0,0.9090909090909091,-1.92
1-Nitronapthalene,2.748000000000001,173.171,1.0,2.0,0.0,64.0,0.7692307692307693,-3.54
1-Nitropropane,0.6731,89.09399999999998,2.0,2.0,0.0,36.0,0.0,-0.8
1-Nonanol,2.7293000000000016,144.258,7.0,1.0,1.0,62.0,0.0,-3.01
1-Nonene ,3.5329000000000024,126.243,6.0,0.0,0.0,54.0,0.0,-5.05
1-Nonyne ,2.980100000000002,124.22699999999999,5.0,0.0,0.0,52.0,0.0,-4.24
1-Octadecanol,6.240200000000008,270.50099999999986,16.0,1.0,1.0,116.0,0.0,-8.4
1-Octanol,2.3392000000000013,130.23100000000002,6.0,1.0,1.0,56.0,0.0,-2.39
1-Octene ,3.142800000000002,112.216,5.0,0.0,0.0,48.0,0.0,-4.44
1-Octyne ,2.5900000000000007,110.19999999999999,4.0,0.0,0.0,46.0,0.0,-3.66
1-Pentadecanol,5.069900000000006,228.41999999999993,13.0,1.0,1.0,98.0,0.0,-6.35
1-Pentanol,1.1689,88.14999999999999,3.0,1.0,1.0,38.0,0.0,-0.6
1-Pentene ,1.9725,70.135,2.0,0.0,0.0,30.0,0.0,-2.68
1-Pentyne,1.4197,68.11899999999999,1.0,0.0,0.0,28.0,0.0,-1.64
1-Phenylethanol,1.7399,122.16699999999996,1.0,1.0,1.0,48.0,0.6666666666666666,-0.92
1-Propanol,0.3887,60.096,1.0,1.0,1.0,26.0,0.0,0.62
1-Tetradecanol,4.679800000000005,214.39299999999994,12.0,1.0,1.0,92.0,0.0,-5.84
"2,2',3,3',4,4',5,5',6,6'-PCB",9.887599999999999,498.66200000000026,1.0,0.0,0.0,118.0,0.5454545454545454,-11.6
"2,2',3,3',4,4',5,5'-PCB",8.580799999999998,429.77200000000016,1.0,0.0,0.0,106.0,0.6,-9.16
"2,2',3,3',4,4'-PCB",7.274000000000001,360.88200000000006,1.0,0.0,0.0,94.0,0.6666666666666666,-8.01
"2,2',3,3',5,5',6,6'-PCB",8.580799999999998,429.77200000000016,1.0,0.0,0.0,106.0,0.6,-9.15
"2,2',3,3',5,6-PCB",7.274000000000001,360.88200000000006,1.0,0.0,0.0,94.0,0.6666666666666666,-8.6
"2,2',3,3'-PCB",5.967200000000002,291.99199999999996,1.0,0.0,0.0,82.0,0.75,-7.28
"2,2',3,4,4',5',6-PCB",7.9274000000000004,395.3270000000001,1.0,0.0,0.0,100.0,0.631578947368421,-7.92
"2,2',3,4,5,5',6-PCB",7.9274000000000004,395.3270000000001,1.0,0.0,0.0,100.0,0.631578947368421,-8.94
"2,2',3,4,5,5'-PCB",7.274000000000001,360.88200000000006,1.0,0.0,0.0,94.0,0.6666666666666666,-7.68
"2,2',3,4,5-PCB",6.620600000000001,326.437,1.0,0.0,0.0,88.0,0.7058823529411765,-7.21
"2,2',3,4,6-PCB",6.620600000000001,326.437,1.0,0.0,0.0,88.0,0.7058823529411765,-7.43
"2,2',3,5,5',6-PCB",7.274000000000001,360.88200000000006,1.0,0.0,0.0,94.0,0.6666666666666666,-7.42
"2,2',3,5'-PCB",5.967200000000002,291.9920000000001,1.0,0.0,0.0,82.0,0.75,-6.47
"2,2,3-Trimethylbutane",2.6885000000000012,100.20499999999998,0.0,0.0,0.0,44.0,0.0,-4.36
"2,2',4,4',5,5'-PCB",7.274000000000001,360.88200000000006,1.0,0.0,0.0,94.0,0.6666666666666666,-8.56
"2,2',4,4',6,6'-PCB",7.274000000000001,360.88200000000006,1.0,0.0,0.0,94.0,0.6666666666666666,-8.71
"2,2',4,5'-PCB",5.967200000000002,291.99199999999996,1.0,0.0,0.0,82.0,0.75,-6.57
"2,2,4,6,6'-PCB",6.620600000000001,326.437,1.0,0.0,0.0,88.0,0.7058823529411765,-7.32
"2,2,4-Trimethylpentane",3.0786000000000016,114.23199999999999,1.0,0.0,0.0,50.0,0.0,-4.74
"2,2,5-Trimethylhexane",3.468700000000003,128.259,2.0,0.0,0.0,56.0,0.0,-5.05
"2,2',6,6'-PCB",5.967200000000002,291.99199999999996,1.0,0.0,0.0,82.0,0.75,-7.39
"2,2-Dimethyl-1-butanol",1.4149,102.17699999999998,2.0,1.0,1.0,44.0,0.0,-1.04
"2,2-Dimethylbutane",2.442500000000001,86.17799999999998,0.0,0.0,0.0,38.0,0.0,-3.55
"2,2-Dimethylpentane",2.832600000000001,100.20499999999998,1.0,0.0,0.0,44.0,0.0,-4.36
"2,2-Dimethylpentanol",1.8050000000000002,116.20399999999998,3.0,1.0,1.0,50.0,0.0,-1.52
"2,2-Dimethylpropanol",1.0248,88.14999999999999,0.0,1.0,1.0,38.0,0.0,-0.4
"2,2'-PCB",4.660400000000002,223.102,1.0,0.0,0.0,70.0,0.8571428571428571,-5.27
"2,3,3',4,4',5-PCB",7.274,360.88200000000006,1.0,0.0,0.0,94.0,0.6666666666666666,-7.82
"2,3,3',4,4'6-PCB",7.9274000000000004,395.3270000000001,1.0,0.0,0.0,100.0,0.631578947368421,-7.66
"2,3',4,4',5-PCB",7.274000000000001,360.88200000000006,1.0,0.0,0.0,94.0,0.6666666666666666,-7.39
"2,3',4,4'-PCB",6.620600000000001,326.437,1.0,0.0,0.0,88.0,0.7058823529411765,-7.8
"2,3,4,5,6-PCB",6.620600000000001,326.437,1.0,0.0,0.0,88.0,0.7058823529411765,-7.92
"2,3',4',5-PCB",5.967200000000002,291.992,1.0,0.0,0.0,82.0,0.75,-7.25
"2,3,4,5-Tetrachlorophenol",4.0058,231.893,0.0,1.0,1.0,60.0,0.5454545454545454,-3.15
"2,3,4,6-Tetrachlorophenol",4.005799999999999,231.89299999999997,0.0,1.0,1.0,60.0,0.5454545454545454,-3.1
"2',3,4-PCB",5.313800000000001,257.547,1.0,0.0,0.0,76.0,0.8,-6.29
"2,3,4'-PCB",5.313800000000001,257.547,1.0,0.0,0.0,76.0,0.8,-6.26
"2,3,4-Trichlorophenol",3.3524000000000003,197.448,0.0,1.0,1.0,54.0,0.6,-2.67
"2,3,4-Trimethylpentane",2.9345000000000017,114.23199999999999,2.0,0.0,0.0,50.0,0.0,-4.8
"2,3,5,6-Tetrachlorophenol",4.0058,231.893,0.0,1.0,1.0,60.0,0.5454545454545454,-3.37
"2,3',5-PCB",5.313800000000001,257.547,1.0,0.0,0.0,76.0,0.8,-6.01
"2,3,5-Trichlorophenol",3.3523999999999994,197.44799999999998,0.0,1.0,1.0,54.0,0.6,-2.67
"2,3,6-Trichlorophenol",3.3523999999999994,197.44799999999998,0.0,1.0,1.0,54.0,0.6,-2.64
"2,3-Dichloronitrobenzene",2.901600000000001,192.00100000000003,1.0,2.0,0.0,58.0,0.5454545454545454,-3.48
"2,3-Dichlorophenol",2.699,163.003,0.0,1.0,1.0,48.0,0.6666666666666666,-1.3
"2,3-Dimethyl-1,3-Butadiene",2.1386000000000003,82.146,1.0,0.0,0.0,34.0,0.0,-2.4
"2,3-Dimethylbutane",2.2984,86.178,1.0,0.0,0.0,38.0,0.0,-3.65
"2,3-Dimethylnaphthalene",3.456640000000002,156.22799999999998,0.0,0.0,0.0,60.0,0.8333333333333334,-4.72
"2,3-Dimethylpentane",2.6885000000000012,100.20499999999998,2.0,0.0,0.0,44.0,0.0,-4.28
"2,3-Dimethylpyridine",1.69844,107.156,0.0,1.0,0.0,42.0,0.75,0.38
"2,4,5-PCB",5.313800000000001,257.547,1.0,0.0,0.0,76.0,0.8,-6.27
"2,4',5-PCB",5.313800000000001,257.547,1.0,0.0,0.0,76.0,0.8,-6.25
"2,4,5-Trichlorophenol ",3.3524000000000003,197.448,0.0,1.0,1.0,54.0,0.6,-2.21
"2,4,6-PCB",5.313800000000001,257.547,1.0,0.0,0.0,76.0,0.8,-6.14
"2,4,6-Trichlorophenol",3.3523999999999994,197.44799999999998,0.0,1.0,1.0,54.0,0.6,-2.34
"2,4,6-Trimethylphenol",2.3174600000000005,136.194,0.0,1.0,1.0,54.0,0.6,-2.05
"2,4,6-Trinitrotoluene",1.7196200000000006,227.13199999999998,3.0,6.0,0.0,84.0,0.375,-3.22
"2,4-Dichlorophenol ",2.699,163.003,0.0,1.0,1.0,48.0,0.6666666666666666,-1.55
"2,4-Dimethyl-2-pentanol ",1.8034,116.20399999999998,2.0,1.0,1.0,50.0,0.0,-0.92
"2,4-Dimethyl-3-pentanol",1.6593,116.20399999999998,2.0,1.0,1.0,50.0,0.0,-1.22
"2,4-Dimethyl-3-pentanone",1.8675,114.18799999999997,2.0,1.0,0.0,48.0,0.0,-1.3
"2,4-Dimethylpentane",2.6885000000000012,100.20499999999998,2.0,0.0,0.0,44.0,0.0,-4.26
"2,4-Dimethylphenol",2.0090399999999997,122.16699999999999,0.0,1.0,1.0,48.0,0.6666666666666666,-1.19
"2,4-Dimethylpyridine",1.69844,107.15599999999999,0.0,1.0,0.0,42.0,0.75,0.38
"2,4-Dinitrotoluene",1.8114200000000005,182.135,2.0,4.0,0.0,68.0,0.46153846153846156,-2.82
"2,4'-PCB",4.660400000000002,223.102,1.0,0.0,0.0,70.0,0.8571428571428571,-5.28
"2,4-PCB",4.660400000000002,223.102,1.0,0.0,0.0,70.0,0.8571428571428571,-5.25
"2,6-Dichlorophenol",2.699,163.003,0.0,1.0,1.0,48.0,0.6666666666666666,-1.79
"2,6-Dimethylnaphthalene ",3.456640000000002,156.228,0.0,0.0,0.0,60.0,0.8333333333333334,-4.89
"2,6-Dimethylphenol",2.00904,122.16699999999999,0.0,1.0,1.0,48.0,0.6666666666666666,-1.29
"2,6-Dimethylpyridine",1.69844,107.156,0.0,1.0,0.0,42.0,0.75,0.45
"2,6-Dinitrotoluene",1.8114200000000005,182.135,2.0,4.0,0.0,68.0,0.46153846153846156,-3.0
"2,6-PCB",4.660400000000003,223.102,1.0,0.0,0.0,70.0,0.8571428571428571,-5.21
"2,7-dimethylquinoline",2.8516400000000006,157.216,0.0,1.0,0.0,60.0,0.8333333333333334,-1.94
2-aminoanthracene,3.5752000000000015,193.249,0.0,1.0,1.0,72.0,0.9333333333333333,-5.17
2-bromonaphthalene,3.6023000000000014,207.07000000000002,0.0,0.0,0.0,54.0,0.9090909090909091,-4.4
2-Bromonapthalene,3.6023000000000014,207.07,0.0,0.0,0.0,54.0,0.9090909090909091,-4.4
2-Bromopropane,1.7897,122.993,0.0,0.0,0.0,26.0,0.0,-1.59
2-Bromotoluene,2.7575200000000013,171.03699999999998,0.0,0.0,0.0,42.0,0.75,-2.23
2-Butanone,0.9854,72.107,1.0,1.0,0.0,30.0,0.0,0.52
2-butenal,0.7614000000000001,70.09100000000001,1.0,1.0,0.0,28.0,0.0,0.32
2-Butoxyethanol,0.7953999999999999,118.17599999999999,5.0,2.0,1.0,50.0,0.0,-0.42
2-Chloro-2-methylbutane,2.4138,106.59599999999999,1.0,0.0,0.0,38.0,0.0,-2.51
2-Chloroanisole,2.3486000000000002,142.58499999999998,1.0,1.0,0.0,48.0,0.6666666666666666,-2.46
2-Chlorobiphenyl,4.007000000000002,188.657,1.0,0.0,0.0,64.0,0.9230769230769231,-4.54
2-Chlorobutane,2.0237,92.569,1.0,0.0,0.0,32.0,0.0,-1.96
2-Chloronapthalene,3.4932000000000016,162.61899999999997,0.0,0.0,0.0,54.0,0.9090909090909091,-4.14
2-Chlorophenol,2.0456000000000003,128.558,0.0,1.0,1.0,42.0,0.75,-1.06
2-Chloropropane,1.6336,78.542,0.0,0.0,0.0,26.0,0.0,-1.41
2-Chlorotoluene,2.6484200000000007,126.586,0.0,0.0,0.0,42.0,0.75,-3.52
2-cyanoguanidine,-1.2591199999999998,84.082,0.0,2.0,2.0,32.0,0.0,-0.31
2-Decanone,3.3260000000000023,156.269,7.0,1.0,0.0,66.0,0.0,-3.3
2-Ethyl pyridine,1.644,107.15599999999998,1.0,1.0,0.0,42.0,0.75,0.51
2-Ethyl-1-butanol,1.4149,102.17699999999999,3.0,1.0,1.0,44.0,0.0,-1.17
2-Ethyl-1-hexanol,2.1951000000000005,130.231,5.0,1.0,1.0,56.0,0.0,-2.11
2-Ethyl-2-hexanal,2.3218000000000005,126.19899999999998,4.0,1.0,0.0,52.0,0.0,-2.46
2-Ethylbutanal,1.6215,100.16099999999999,3.0,1.0,0.0,42.0,0.0,-1.52
2-Ethylhexanal,2.401700000000001,128.21499999999997,5.0,1.0,0.0,54.0,0.0,-2.13
2-Ethylnaphthalene,3.4022000000000014,156.22799999999998,1.0,0.0,0.0,60.0,0.8333333333333334,-4.29
2-Ethyltoluene,2.5574200000000005,120.19499999999996,1.0,0.0,0.0,48.0,0.6666666666666666,-3.21
2-Heptanol ,1.9475000000000002,116.20399999999998,4.0,1.0,1.0,50.0,0.0,-1.55
2-Heptanone,2.1557000000000004,114.18799999999999,4.0,1.0,0.0,48.0,0.0,-1.45
2-Hexanol,1.5574,102.17699999999998,3.0,1.0,1.0,44.0,0.0,-0.89
2-Hexanone,1.7656,100.16099999999999,3.0,1.0,0.0,42.0,0.0,-0.8
2-hydroxypteridine,0.1253999999999998,148.125,0.0,5.0,1.0,54.0,0.9090909090909091,-1.9469999999999998
2-Hydroxypyridine,0.7871999999999999,95.101,0.0,2.0,1.0,36.0,0.8571428571428571,1.02
2-Iodopropane,1.8298,169.993,0.0,0.0,0.0,26.0,0.0,-2.09
